Country ;Region ;Area;Dealership;Year;Period;HC;Sick Leave Hours;Care Leave Hours;Doctor Appointment Hours;Instances;Date
Land 3;South/West;EH;Hof 1;2025;H1;169;3200;100,8;;75,6;30.06.2025
Land 3;South/West;EH;Hof 2;2025;H1;104;3240;211,2;;80;30.06.2025
Land 3;South/West;EH;Hof 3;2025;H1;78;3079,2;324;;87,6;30.06.2025
Land 3;South/West;EH;Hof 4;2025;H1;41;230;141,6;;14,4;30.06.2025
Land 3;South/West;EH;Hof 5;2025;H1;71;2112;19,2;;34,8;30.06.2025
Land 3;South/West;EH;Hof 6;2025;H1;23;883,2;273,6;;24;30.06.2025
Land 3;South/West;WS;Hof 7;2025;H1;66;1680;268,8;;58,8;30.06.2025
Land 3;South/West;EH;Hof 1;2025;H2;171;3189,6;100,8;;75,6;31.12.2025
Land 3;South/West;EH;Hof 2;2025;H2;103;3350;211,2;;73,2;31.12.2025
Land 3;South/West;EH;Hof 3;2025;H2;78;3079,2;324;;87,6;31.12.2025
Land 3;South/West;EH;Hof 4;2025;H2;41;270;141,6;;14,4;31.12.2025
Land 3;South/West;EH;Hof 5;2025;H2;71;2200;19,2;;34,8;31.12.2025
Land 3;South/West;EH;Hof 6;2025;H2;24;883,2;273,6;;24;31.12.2025
Land 3;South/West;WS;Hof 7;2025;H2;66;1680;268,8;;58,8;31.12.2025
Land 3;South/West;EH;Hof 1;2026;H1;169;3300;100,8;;75,6;30.06.2026
Land 3;South/West;EH;Hof 2;2026;H1;104;3240;211,2;;60;30.06.2026
Land 3;South/West;EH;Hof 3;2026;H1;79;3000;324;;87,6;30.06.2026
Land 3;South/West;EH;Hof 4;2026;H1;41;268,8;141,6;;30;30.06.2026
Land 3;South/West;EH;Hof 5;2026;H1;77;2000;19,2;;34,8;30.06.2026
Land 3;South/West;EH;Hof 6;2026;H1;25;883,2;273,6;;20;30.06.2026
Land 3;South/West;WS;Hof 7;2026;H1;66;1680;268,8;;58,8;30.06.2026
Land 3;South/West;EH;Hof 8;2026;H1;50;850;270;;63;30.06.2026
